0.515823 0.33046 0.210398 0.0922587 0.0429102 -0.0145808 -0.0489023 -0.081489 -0.107685 -0.126886 -0.142553 -0.159966 -0.177263 -0.192381 -0.202978 -0.219799 -0.233485 -0.240728 -0.252207 -0.266694 -0.270374 -0.275929 -0.278312 -0.273476 -0.271509 -0.262391 -0.26408 -0.253441 -0.248754 -0.2418 
0.557622 0.353805 0.205458 0.096459 0.0188322 -0.0399929 -0.0816045 -0.105096 -0.137283 -0.150145 -0.165878 -0.187358 -0.206294 -0.214415 -0.230241 -0.235581 -0.251672 -0.254307 -0.264666 -0.274656 -0.284482 -0.28429 -0.281451 -0.28455 -0.27813 -0.270848 -0.266936 -0.260506 -0.246631 -0.233194 
0.58171 0.358769 0.198966 0.0888884 -0.00425433 -0.0600281 -0.0958694 -0.134961 -0.161909 -0.178484 -0.197577 -0.208119 -0.226521 -0.234946 -0.248717 -0.259541 -0.265647 -0.272055 -0.278003 -0.284043 -0.287572 -0.288418 -0.290541 -0.285764 -0.280425 -0.275398 -0.256591 -0.244995 -0.234395 -0.226284 
0.621025 0.365031 0.214574 0.0821451 -0.011363 -0.0885851 -0.127159 -0.165848 -0.190214 -0.203558 -0.221421 -0.235622 -0.245602 -0.260006 -0.266529 -0.274731 -0.282611 -0.287633 -0.290063 -0.294072 -0.292792 -0.293297 -0.294088 -0.293028 -0.284828 -0.275315 -0.263961 -0.242209 -0.222015 -0.204726 
0.63271 0.401263 0.208559 0.0828834 -0.0281362 -0.100369 -0.144123 -0.188554 -0.220532 -0.234117 -0.251809 -0.263445 -0.269698 -0.275913 -0.284166 -0.293118 -0.294996 -0.298912 -0.303933 -0.30553 -0.3047 -0.30147 -0.298144 -0.291827 -0.289275 -0.274643 -0.25553 -0.250076 -0.224921 -0.213376 
0.687116 0.417339 0.214508 0.0716428 -0.0371875 -0.121144 -0.1698 -0.203684 -0.235422 -0.259153 -0.27074 -0.287454 -0.294556 -0.297529 -0.298816 -0.304633 -0.312084 -0.314465 -0.312458 -0.314556 -0.302697 -0.30533 -0.298899 -0.294372 -0.279175 -0.278106 -0.260666 -0.247007 -0.215843 -0.189083 
0.708333 0.426434 0.232569 0.0702278 -0.0359963 -0.118729 -0.183387 -0.22571 -0.254182 -0.283428 -0.29285 -0.305601 -0.313623 -0.316688 -0.320932 -0.322575 -0.323077 -0.326463 -0.327621 -0.321637 -0.319279 -0.301215 -0.302033 -0.291612 -0.286948 -0.276068 -0.264234 -0.246041 -0.216607 -0.202143 
0.747852 0.468294 0.24779 0.0827572 -0.0416345 -0.139089 -0.191861 -0.24543 -0.273739 -0.298822 -0.321672 -0.328473 -0.332678 -0.33871 -0.336556 -0.339368 -0.33672 -0.3373 -0.335738 -0.328475 -0.319988 -0.316307 -0.299023 -0.295992 -0.272749 -0.26898 -0.245079 -0.240844 -0.217892 -0.176506 
0.770688 0.473427 0.270018 0.0819155 -0.0487659 -0.131441 -0.214663 -0.255439 -0.290672 -0.317485 -0.330322 -0.345602 -0.354586 -0.355875 -0.35434 -0.349151 -0.352342 -0.346208 -0.343235 -0.34081 -0.324374 -0.3165 -0.304112 -0.292265 -0.274706 -0.25922 -0.238371 -0.228522 -0.211318 -0.181277 
0.782184 0.491462 0.281799 0.0908158 -0.0348135 -0.137339 -0.219243 -0.270589 -0.312551 -0.334258 -0.34907 -0.36269 -0.366384 -0.36956 -0.369496 -0.371223 -0.357877 -0.355428 -0.348664 -0.341693 -0.330093 -0.317264 -0.307837 -0.289803 -0.277034 -0.251486 -0.230111 -0.205632 -0.189424 -0.170564 
