147.212 0 147.212 0.0402673
147.208 0.00345564 147.203 0.0316184
147.202 0.0048973 147.192 0.0227592
147.198 0.00531409 147.185 0.0287131
147.195 0.00514002 147.182 0.0251957
147.193 0.00451018 147.185 0.0358856
147.192 0.00391599 147.188 0.0613107
147.193 0.00353807 147.2 0.0534255
147.194 0.00319014 147.198 0.0675117
147.196 0.00323582 147.21 0.0645344
147.196 0.00300528 147.203 0.0255465
147.196 0.00282308 147.188 0.0356344
147.195 0.00261776 147.192 0.0404603
147.195 0.00243683 147.198 0.0346905
147.196 0.00233512 147.204 0.0203073
147.197 0.00225853 147.205 0.0341433
147.197 0.0021867 147.206 0.0612802
147.197 0.00213165 147.187 0.0340975
147.196 0.00211007 147.185 0.0483757
147.195 0.0023053 147.173 0.0582654
147.193 0.00258348 147.165 0.049606
147.192 0.00268182 147.17 0.0349916
147.192 0.00263555 147.178 0.0366217
147.191 0.00263848 147.173 0.0488829
147.19 0.00262025 147.174 0.02618
147.189 0.00268702 147.165 0.0337328
147.188 0.00272331 147.166 0.0171698
147.187 0.0029554 147.15 0.0193577
147.186 0.00295279 147.165 0.0311218
147.186 0.00287913 147.175 0.0482441
